SrNo,Country,CountryCode,RegionCode,Y1990,Y1995,Y2000,Y2005,Y2010,Y2015,Y2017
148,Guatemala,GTM,CAM,264257,156188,48119,57252,66384,78352,81528
149,Honduras,HND,CAM,270423,149442,28461,27875,27288,38317,38700
150,Mexico,MEX,CAM,695674,458549,538051,712487,969538,1193155,1224169
151,Nicaragua,NIC,CAM,41421,26619,30389,34918,37333,40262,41159
152,Panama,PAN,CAM,62744,70848,83410,117563,157309,184710,190728
153,South America,-,SAM,4283262,4241024,4215204,4518645,5143123,5843031,6015623
154,Argentina,ARG,SAM,1649919,1595069,1540219,1673088,1805957,2086302,2164524
155,Bolivia,BOL,SAM,73758,83598,92658,107745,122846,142989,148837
156,Brazil,BRA,SAM,798517,741557,684596,638582,592568,716568,735557
157,Chile,CHL,SAM,107501,142417,177332,273384,369436,469436,488571
158,Colombia,COL,SAM,104277,106943,109609,107612,124271,139134,142319
159,Ecuador,ECU,SAM,78663,115093,151523,187404,325366,387513,399068
160,Paraguay,PRY,SAM,195884,186570,176608,168243,160299,156462,160519
161,Peru,PER,SAM,65025,56732,66293,77541,84066,91481,93780
162,Uruguay,URY,SAM,98116,93428,88871,82318,76263,78799,79586
163,Venezuela,VEN,SAM,1025009,1019996,1013663,1070562,1331488,1404448,1426336
164,NORTHERN AMERICA,-,NAM,27610542,33341147,40351848,45363387,50970996,55766224,57664154
165,Canada,CAN,NAM,4333318,4864778,5511914,6078985,6761226,7561226,7861226
166,United States of America,USA,NAM,23251026,28451053,34814053,39258293,44183643,48178877,49776970
167,OCEANIA,-,OCEANIA,4730858,5022263,5360027,6023421,7124634,8051745,8410933
168,Australia/New Zealand,-,AUNZ,4473260,4741947,5065063,5717982,6830423,7750276,8102983
169,Australia,AUS,AUNZ,3955213,4153330,4386250,4878030,5882980,6710540,7035560
170,New Zealand,NZL,AUNZ,518047,588617,678813,839952,947443,1039736,1067423
171,Melanesia,-,MELANESIA,90210,96828,94078,103878,105684,114595,118078
172,Micronesia,-,MICRONESIA,108969,118687,130186,128390,115948,115311,117601
173,Polynesia,-,POLYNESIA,58419,64801,70700,73171,72579,71563,72271
